2013-10-19 22:27:39.3: Loaded script default_script.xml, 2000 operations to run
2013-10-19 22:27:51.759: Received Ctrl+C, ending 65 threads... (This may take a moment)
2013-10-19 22:28:07.355: Loaded script default_script.xml, 2000 operations to run
2013-10-19 22:28:59.038: Loaded script default_script.xml, 2000 operations to run
2013-10-19 22:29:06.289: Received Ctrl+C, ending 65 threads... (This may take a moment)
2013-10-20 12:37:23.176: Loaded script default_script.xml, 2000 operations to run
2013-10-20 12:37:47.591: Received Ctrl+C, ending 17 threads... (This may take a moment)
2013-10-20 12:38:32.997: Loaded script default_script.xml, 2000 operations to run
2013-10-20 12:39:02.854: All done, exiting!
2013-10-20 12:43:46.018: Loaded script default_script.xml, 2000 operations to run
2013-10-20 12:44:01.98: All done, exiting!
2013-10-20 13:17:58.226: Loaded script default_script.xml, 2000 operations to run
2013-10-20 13:18:19.864: Received Ctrl+C, ending 2 threads... (This may take a moment)
2013-10-20 13:18:53.247: Loaded script default_script.xml, 2000 operations to run
2013-10-20 13:19:02.868: Received Ctrl+C, ending 65 threads... (This may take a moment)
2013-10-20 13:20:01.575: Loaded script default_script.xml, 2000 operations to run
2013-10-20 13:20:06.194: Received Ctrl+C, ending 65 threads... (This may take a moment)
2013-10-20 13:21:13.781: Loaded script default_script.xml, 2000 operations to run
2013-10-20 13:21:49.162: Received Ctrl+C, ending 65 threads... (This may take a moment)
2013-10-20 13:23:34.956: Loaded script default_script.xml, 2000 operations to run
2013-10-20 13:24:01.948: Loaded script default_script.xml, 2000 operations to run
2013-10-20 13:25:53.576: Received Ctrl+C, ending 65 threads... (This may take a moment)
2013-10-20 13:25:59.219: Loaded script default_script.xml, 2000 operations to run
2013-10-20 13:26:49.783: Received Ctrl+C, ending 65 threads... (This may take a moment)
2013-10-20 13:29:50.157: Loaded script default_script.xml, 2000 operations to run
2013-10-20 13:29:51.785: Received Ctrl+C, ending 33 threads... (This may take a moment)
2013-10-20 13:30:15.386: Loaded script default_script.xml, 2000 operations to run
2013-10-20 13:30:22.935: Received Ctrl+C, ending 65 threads... (This may take a moment)
